"Numero"	"Localisation"	"cate_fonc"	"cate_typo"	"Description"	"nb_elem"	"Date "	"Provenance"	"Commentaire"	"English_transcrit "	"no_invent"
1	"Luna 2"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ye-1"	"Indéterminé"	"14/09/1959"	"URSS"			
2	"Ranger 4"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block II"	"Indéterminé"	"26/04/1962"	"USA"	"Echec de trajectoire."		
3	"Ranger 6"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"02/02/1964"	"USA"			
4	"Ranger 7"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"31/07/1964"	"USA"			
5	"Ranger 8"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"20/02/1965"	"USA"			
6	"Ranger 9"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"24/03/1965"	"USA"			
7	"Luna 5"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"12/05/1965"	"URSS"	"Echec de l'atterrissage."		
8	"Luna 7"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"08/10/1965"	"URSS"	"Echec de l'atterrissage."		
9	"Luna 8"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"07/12/1965"	"URSS"	"Echec de l'atterrissage."		
10	"Luna 9"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Ye-6M"	1	"03/02/1966"	"URSS"			
11	"Luna 10"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6S"	"Indéterminé"	"30/05/1966"	"URSS"			
12	"Surveyor 1"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"02/06/1966"	"USA"			
13	"Surveyor 2"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Surveyor"	1	"23/09/1966"	"USA"	"Echec de l'atterrissage."		
14	"Luna 11"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LF"	"Indéterminé"	"01/10/1966"	"URSS"			
15	"Lunar orbiter 1"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"29/10/1966"	"URSS"			
16	"Luna 13"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Ye-6M"	1	"24/12/1966"	"USA"			
17	"Luna 12"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LF"	"Indéterminé"	"19/01/1967"	"USA"			
18	"Surveyor 3"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor incomplet"	1	"20/04/1967"	"USA"	"Deux rebonds à l'atterrissage. Visite et récupération de part par Apollo 12."		
19	"Surveyor 4"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Surveyor"	1	"17/07/1967"	"USA"	"Perte de contact, échec de l'atterrissage."		
20	"Lunar orbiter 4"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"17/07/1967"	"USA"			
21	"Explorer 35"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Interplanétaire Monitoring Platform (IMP-E)"	"Indéterminé"	"24/07/1967"	"USA"			
22	"Surveyor 5"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"11/09/1967"	"USA"			
23	"Lunar orbiter 3"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"09/10/1967"	"USA"			
24	"Lunar orbiter 2"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"11/10/1967"	"USA"			
25	"Surveyor 6"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"10/11/1967"	"USA"	"Petit saut réalisé plaçant la sonde 2,4m Ouest de sa position d'atterrissage."		
26	"Surveyor 7"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"10/01/1968"	"USA"			
27	"Lunar orbiter 5"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"31/01/1968"	"USA"			
28	"Luna 14"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LS"	"Indéterminé"	"30/06/1968"	"URSS"	"Sonde presque identique avec Ye-6LF"		
29	"Apollo 10"	"Véhicule spatial"	"Impacteur"	"Etage de descente du module lunaire Snoopy"	"Indéterminé"	"22/05/1969"	"USA"	"Le reste du LM est en orbite héliocentrique."		
30	"Luna 15"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-8-5"	"Indéterminé"	"21/07/1969"	"URSS"	"Echec de l'atterrissage."		
31	"Apollo 11"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Eagle"	1	"21/07/1969"	"USA"	"Une plaque commémorative y est accrochée."		2
32	"Apollo 11"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Eagle"	"Indéterminé"	"21/07/1969"	"USA"			1
33	"Apollo 11"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"21/07/1969"	"USA"			15
34	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Sous-système pour la caméra de télévision"	1	"21/07/1969"	"USA"			28
35	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Caméra de télévision"	1	"21/07/1969"	"USA"			29
36	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Objectif grand angle pour la caméra de télévision "	1	"21/07/1969"	"USA"			30
37	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Objectif de jour pour la caméra de télévision "	1	"21/07/1969"	"USA"			31
38	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Lot de câbles pour la caméra de télévision"	1	"21/07/1969"	"USA"			32
39	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Antenne de communication S-Band"	1	"21/07/1969"	"USA"			36
40	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Câbles pour l'antenne S-Band"	1	"21/07/1969"	"USA"			37
41	"Apollo 11"	"Equipement scientifique"	"Appareil audiovisuel"	"Protection thermique en mylar doré"	"Indéterminé"	"21/07/1969"	"USA"	"Le mylar doré a été arraché du LEM lors du décollage de l'étage de montée. "		49
42	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Collecteur de liquide causé par la condensation dans le PLSS"	2	"21/07/1969"	"USA"			12
43	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie (PLSS)"	2	"21/07/1969"	"USA"			16
44	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Console de contrôle du PLSS (RCU)"	2	"21/07/1969"	"USA"			17
45	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de surchaussure pour botte lunaire"	2	"21/07/1969"	"USA"			18
46	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Connecteur PGA permettant de purger le gaz"	2	"21/07/1969"	"USA"			19
47	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"21/07/1969"	"USA"			25
48	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille "	2	"21/07/1969"	"USA"			26
49	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille "	2	"21/07/1969"	"USA"			27
50	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Adaptateur OPS / SRC"	2	"21/07/1969"	"USA"			33
51	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	2	"21/07/1969"	"USA"			34
52	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre bactérien pour l'oxygène"	1	"21/07/1969"	"USA"			35
53	"Apollo 11"	"Equipement scientifique"	"Instrument scientifique"	"Réflecteur lunaire (LRRR)"	1	"21/07/1969"	"USA"			14
54	"Apollo 11"	"Equipement scientifique"	"Instrument scientifique"	"Sismomètre passif (PSE)"	1	"21/07/1969"	"USA"			40
55	"Apollo 11"	"Equipement scientifique"	"Instrument scientifique"	"Station centrale de l'EASEP"	1	"21/07/1969"	"USA"	"Permet d'avoir une communication radiofréquence avec la Terre pour les calculs télémétriques et le contrôle des équipements."		41
56	"Apollo 11"	"Equipement scientifique"	"Outil"	"Marteau"	1	"21/07/1969"	"USA"			43
57	"Apollo 11"	"Equipement scientifique"	"Outil"	"Pelle large pour récupération d'échantillon"	1	"21/07/1969"	"USA"			44
58	"Apollo 11"	"Equipement scientifique"	"Outil"	"Manche télescopique "	1	"21/07/1969"	"USA"			45
59	"Apollo 11"	"Equipement scientifique"	"Outil"	"Tongs"	1	"21/07/1969"	"USA"	"Système de pince à mettre sur le bras télescopique pour récupérer outils et échantillons sur le sol lunaire sans devoir se baiser"		46
60	"Apollo 11"	"Equipement scientifique"	"Outil"	"Gnomon"	1	"21/07/1969"	"USA"	"Instrument astronomique permettant de visualiser la position du soleil."		47
61	"Apollo 11"	"Equipement technique et sanitaire"	"Alimentaire"	"Ration de nourriture scellé (4jours)"	1	"21/07/1969"	"USA"			13
62	"Apollo 11"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Appareil de collecte de déjection"	4	"21/07/1969"	"USA"			8
63	"Apollo 11"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Collecteur d'urine, petit format"	2	"21/07/1969"	"USA"			9
64	"Apollo 11"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Collecteur d'urine, grand format"	2	"21/07/1969"	"USA"			10
65	"Apollo 11"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Sac vomitoire"	4	"21/07/1969"	"USA"	"Les sacs n'ont pas été utilisés."		11
66	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Système d'attaches et sangles pour la taille "	2	"21/07/1969"	"USA"			20
67	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Transporteur d'équipement lunaire (LEC)"	1	"21/07/1969"	"USA"			21
68	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Câbles et attaches à la taille pour le LEC"	1	"21/07/1969"	"USA"			22
69	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour le LEC"	1	"21/07/1969"	"USA"			23
70	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour la ligne de sureté "	1	"21/07/1969"	"USA"			24
71	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac pour l'équipement de transport lunaire"	1	"21/07/1969"	"USA"			38
72	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette du MESA"	1	"21/07/1969"	"USA"			39
73	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette du MESA"	1	"21/07/1969"	"USA"			42
74	"Apollo 11"	"Equipement technique et sanitaire"	"Transport et stockage"	"Récipient à déchets"	1	"21/07/1969"	"USA"			48
75	"Apollo 11"	"Objet symbolique"	"Distinction"	"Insigne de la mission Apollo 1 "	1	"21/07/1969"	"USA"	"En l'honneur des astronautes morts lors de la mission."		5
76	"Apollo 11"	"Objet symbolique"	"Distinction"	"Médailles soviétiques"	2	"21/07/1969"	"USA"	"En l'honneur des astronautes morts."		6
77	"Apollo 11"	"Objet symbolique"	"Document"	"Disque en silicone gravé"	1	"21/07/1969"	"USA"	"Message de paix venant de 73 pays."		7
78	"Apollo 11"	"Objet symbolique"	"Drapeau "	"Drapeau USA et armature en aluminium"	1	"21/07/1969"	"USA"			3
79	"Apollo 11"	"Objet symbolique"	"Autre"	"Rameau d'olivier en or"	1	"21/07/1969"	"USA"			4
80	"Apollo 12"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Intrepid"	1	"19/11/1969"	"USA"	"Une plaque commémorative y est accrochée."		2
81	"Apollo 12"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Intrepid"	"Indéterminé"	"19/11/1969"	"USA"			1
82	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Câble et télécommande pour appareil photo 16mm"	1	"19/11/1969"	"USA"			34
83	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Déclencheur électrique pour caméra Hasselblad"	2	"19/11/1969"	"USA"			35
84	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée électrique pour caméra Hasselblad"	2	"19/11/1969"	"USA"			36
85	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Support pour caméra"	2	"19/11/1969"	"USA"			37
86	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Système pour Caméra de télévision couleur"	1	"19/11/1969"	"USA"			38
87	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision couleur"	1	"19/11/1969"	"USA"			39
88	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif zoom pour caméra de télévision"	1	"19/11/1969"	"USA"			40
89	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Câbles pour caméra de télévision"	1	"19/11/1969"	"USA"			41
90	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Trépied pour caméra de télévision "	1	"19/11/1969"	"USA"			42
91	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Support de montage pour la caméra de télévision"	1	"19/11/1969"	"USA"			43
92	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Support d'installation pour la caméra de télévision couleur"	1	"19/11/1969"	"USA"			44
93	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Appareil de photographie gros plan stéréo"	1	"19/11/1969"	"USA"			45
94	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Cibles de contraste"	3	"19/11/1969"	"USA"			46
95	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"19/11/1969"	"USA"			47
96	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Retardateur pour Hasselblad"	1	"19/11/1969"	"USA"	"Il a été envoyé sous le coup de la frustration par un des astronautes"		48
97	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Antenne de communication S-Band"	1	"19/11/1969"	"USA"			49
98	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection réseau"	2	"19/11/1969"	"USA"			72
99	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra Hasselblad"	2	"19/11/1969"	"USA"			31
100	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 60mm"	2	"19/11/1969"	"USA"			32
101	"Apollo 12"	"Equipement scientifique"	"Appareil audiovisuel"	"Adaptateur pour appareil photo 16mm"	1	"19/11/1969"	"USA"			33
102	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Collecteur de liquide causé par la condensation dans le PLSS"	1	"19/11/1969"	"USA"			11
103	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles rétractable"	2	"19/11/1969"	"USA"			50
104	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Console de contrôle du PLSS (RCU)"	2	"19/11/1969"	"USA"			51
105	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre avec cartouche de LiOH du PLSS"	2	"19/11/1969"	"USA"			52
106	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Batteries pour PLSS"	2	"19/11/1969"	"USA"			53
107	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de surchaussure pour botte lunaire"	2	"19/11/1969"	"USA"			54
108	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"19/11/1969"	"USA"			55
109	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Ensemble PLSS et EVCS"	1	"19/11/1969"	"USA"			56
110	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Sac pour le système d'hydratation avec barème"	1	"19/11/1969"	"USA"			57
111	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Sac pour le système d'hydratation sans barème"	3	"19/11/1969"	"USA"			58
112	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"19/11/1969"	"USA"			59
113	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Adaptateur OPS / SRC"	2	"19/11/1969"	"USA"			60
114	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	1	"19/11/1969"	"USA"			61
115	"Apollo 12"	"Equipement scientifique"	"Equipement pour EVA"	"Sangle pour l'ECS"	1	"19/11/1969"	"USA"			62
116	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Station centrale de l'ALSEP"	1	"19/11/1969"	"USA"			12
117	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Ensemble de montage pour le combustible nucléaire du RTG"	1	"19/11/1969"	"USA"			13
118	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Combustible nucléaire"	1	"19/11/1969"	"USA"			14
119	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Capsule pour le combustible"	1	"19/11/1969"	"USA"			15
120	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Charte colorimétrique"	1	"19/11/1969"	"USA"			16
121	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Magnétomètre LSM"	1	"19/11/1969"	"USA"			17
122	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Sismomètre passif (PSE)"	1	"19/11/1969"	"USA"			18
123	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Spectromètre à vent solaire"	1	"19/11/1969"	"USA"			19
124	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Générateur thermique à radioisotope (RTG)"	1	"19/11/1969"	"USA"			20
125	"Apollo 12"	"Equipement scientifique"	"Instrument scientifique"	"Détecteur d'ion suprathermique et jauge cathodique froide (SIDE et CCGE)"	1	"19/11/1969"	"USA"			21
126	"Apollo 12"	"Equipement scientifique"	"Outil"	"Marteau"	1	"19/11/1969"	"USA"			22
127	"Apollo 12"	"Equipement scientifique"	"Outil"	"Pelle pour récupération d'échantillon"	1	"19/11/1969"	"USA"			23
128	"Apollo 12"	"Equipement scientifique"	"Outil"	"Manche télescopique "	1	"19/11/1969"	"USA"			24
129	"Apollo 12"	"Equipement scientifique"	"Outil"	"Tongs"	1	"19/11/1969"	"USA"			25
130	"Apollo 12"	"Equipement scientifique"	"Outil"	"Gnomon"	1	"19/11/1969"	"USA"			26
131	"Apollo 12"	"Equipement scientifique"	"Outil"	"Crochets"	2	"19/11/1969"	"USA"			27
132	"Apollo 12"	"Equipement scientifique"	"Outil"	"Outil de nivellement pour PSE"	1	"19/11/1969"	"USA"			28
133	"Apollo 12"	"Equipement scientifique"	"Outil"	"Porte-outil avec outils de géologie lunaire"	1	"19/11/1969"	"USA"			29
134	"Apollo 12"	"Equipement scientifique"	"Outil"	"Cutter"	1	"19/11/1969"	"USA"	"Utilisé pour récupérer des morceaux de Surveyor 3."		30
135	"Apollo 12"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Appareil de collecte de déjection"	4	"19/11/1969"	"USA"			5
136	"Apollo 12"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Collecteur d'urine, petit format"	1	"19/11/1969"	"USA"			9
137	"Apollo 12"	"Equipement technique et sanitaire"	"Déchets biologiques"	"Sac vomitoire"	4	"19/11/1969"	"USA"			10
138	"Apollo 12"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Hamac"	1	"19/11/1969"	"USA"	"Suite aux plaintes d'Apollo 11 ils ont rajouté de l'équipement pour un repas agréable."		73
139	"Apollo 12"	"Equipement technique et sanitaire"	"Equipement pour le repos"	"Bouchons d'oreilles "	2	"19/11/1969"	"USA"			8
140	"Apollo 12"	"Equipement technique et sanitaire"	"Textile"	"Serviette, rouge "	2	"19/11/1969"	"USA"			6
141	"Apollo 12"	"Equipement technique et sanitaire"	"Textile"	"Serviette, bleu"	2	"19/11/1969"	"USA"			7
142	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Système d'attaches et sangles pour la taille (LEC)"	1	"19/11/1969"	"USA"			63
143	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Transporteur d'équipement lunaire (LEC)"	1	"19/11/1969"	"USA"			64
144	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Sac de stockage pour le LEC"	1	"19/11/1969"	"USA"			65
145	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Système de stockage temporaire"	1	"19/11/1969"	"USA"			66
146	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Récipient à déchets"	1	"19/11/1969"	"USA"			67
147	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Récipient à déchets"	1	"19/11/1969"	"USA"			68
148	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 1 de palette de rangement pour ALSEP"	1	"19/11/1969"	"USA"			69
149	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Lot 2 de palette de rangement pour ALSEP"	1	"19/11/1969"	"USA"			70
150	"Apollo 12"	"Equipement technique et sanitaire"	"Transport et stockage"	"Câbles et attaches à la taille pour le LEC"	1	"19/11/1969"	"USA"			71
151	"Apollo 12"	"Objet symbolique"	"Drapeau "	"Drapeau USA et armature en aluminium cassé"	1	"19/11/1969"	"USA"	"L'armature est cassé. "		3
152	"Apollo 12"	"Objet symbolique"	"Distinction"	"Badges d'astronaute"	2	"19/11/1969"	"USA"			4
153	"Apollo 13 "	"Véhicule spatial"	"Impacteur"	"Troisième étage de la fusée Saturne V (S-IVB)"	"Indéterminé"	"15/04/1970"	"USA"			
154	"Luna 16 "	"Véhicule spatial"	"Atterrisseur "	"Etage de descente de l'atterrisseur Ye-8-5"	1	"20/09/1970"	"URSS"	"Récupération d'échantillon, forage à 35cm. "		
155	"Luna 17"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur pour transport d'astromobile Ye-8"	1	"17/11/1970"	"URSS"	"Trace reliant La sonde Luna 17 avec Lunokhod 1. "		
156	"Luna 17"	"Véhicule spatial"	"Astromobile "	"Véhicule lunaire à roue Lunokhod 1"	1	"18/11/1970"	"URSS"	"Trace reliant La sonde Luna 17 avec Lunokhod 1. "		
157	"Apollo 14"	"Véhicule spatial"	"Astromobile "	"Chariot de transport pour équipement (MET)"	1	"05/02/1971"	"USA"			4
158	"Apollo 14"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Antares"	1	"05/02/1971"	"USA"			3
159	"Apollo 14"	"Véhicule spatial"	"Impacteur"	"Troisième étage de la fusée Saturne V (S-IVB)"	1	"05/02/1971"	"USA"			1
160	"Apollo 14"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Antares"	1	"05/02/1971"	"USA"			2
161	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"05/02/1971"	"USA"			13
162	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Adaptateur pour support d'appareil photo 16mm"	1	"05/02/1971"	"USA"			14
163	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra Hasselblad"	1	"05/02/1971"	"USA"			15
164	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif caméra 60mm"	1	"05/02/1971"	"USA"			16
165	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Câble et télécommande pour l'appareil photo 16mm"	1	"05/02/1971"	"USA"			17
166	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Déclencheur électrique pour caméra Hasselblad"	1	"05/02/1971"	"USA"			18
167	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée électrique pour caméra Hasselblad"	1	"05/02/1971"	"USA"			19
168	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Brosse pour les objectifs"	1	"05/02/1971"	"USA"			22
169	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Bloc d'alimentation pour l'appareil photo 16mm"	1	"05/02/1971"	"USA"			23
170	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Appareil photo à pile 16mm"	1	"05/02/1971"	"USA"			24
171	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif 5mm pour appareil photo à pile"	1	"05/02/1971"	"USA"			25
172	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Poignée pour l'appareil photo à pile"	1	"05/02/1971"	"USA"			26
173	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Bloc d'alimentation pour l'appareil photo 16mm"	1	"05/02/1971"	"USA"			27
174	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Support de télécommande pour l'appareil photo à pile"	1	"05/02/1971"	"USA"			28
175	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Support pour caméra"	1	"05/02/1971"	"USA"			30
176	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Appareil photo gros plan stéréo"	1	"05/02/1971"	"USA"			44
177	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Antenne de communication S-Band"	1	"05/02/1971"	"USA"			49
178	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Trépied pour caméra de télévision "	1	"05/02/1971"	"USA"			50
179	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Support de montage pour la caméra de télévision"	1	"05/02/1971"	"USA"			52
180	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision"	1	"05/02/1971"	"USA"			76
181	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif de jour pour la caméra de télévision "	1	"05/02/1971"	"USA"			77
182	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Caméra de télévision couleur"	1	"05/02/1971"	"USA"			78
183	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Objectif zoom pour caméra de télévision couleur"	1	"05/02/1971"	"USA"			79
184	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Câble pour la caméra de télévision couleur"	1	"05/02/1971"	"USA"			80
185	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Cache pour objectif"	1	"05/02/1971"	"USA"			81
186	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection réseau"	2	"05/02/1971"	"USA"			95
187	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection pour objectif de caméra"	1	"05/02/1971"	"USA"			98
188	"Apollo 14"	"Equipement scientifique"	"Appareil audiovisuel"	"Couverture de protection pour connecteur "	1	"05/02/1971"	"USA"			99
189	"Apollo 14"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles rétractable"	2	"05/02/1971"	"USA"			20
190	"Apollo 14"	"Equipement scientifique"	"Equipement pour EVA"	"Manchette avec liste de vérification"	2	"05/02/1971"	"USA"			21
